SKU_Input,PartNum,ProductName,DBP_ex_GST,DBP_inc_GST,RRP_ex_GST,RRP_inc_GST,Available_SYD,Available_MEL,Available_BRS,Available_ADL,Available_WA,Status
NWG-WGM6900063,NWG-WGM6900063,WatchGuard Standard Support for Firebox M690 - 3-Year,6912,7603.2,19399.09,21339,0,0,0,0,0,OK
NWG-WGM6900071,NWG-WGM6900071,WatchGuard Basic Security Suite for Firebox M690 - 1-Year,6334,6967.4,18617.27,20479,0,0,0,0,0,OK
NWG-WGM6900073,NWG-WGM6900073,WatchGuard Basic Security Suite for Firebox M690 - 3-Year,14575,16032.5,29790,32769,0,0,0,0,0,OK
NWG-WGM6900081,NWG-WGM6900081,WatchGuard Total Security Suite for Firebox M690 - 1-Year,11875,13062.5,26126.36,28739,0,0,0,0,0,OK
NWG-WGM6900083,NWG-WGM6900083,WatchGuard Total Security Suite for Firebox M690 - 3-Year,27723,30495.3,42980.76,47278.836,0,0,0,0,0,OK
NWG-WGM6900203,,,,,,,,,,,,NOT FOUND
NWG-WGM6900211,,,,,,,,,,,,NOT FOUND
NWG-WGM6900213,,,,,,,,,,,,NOT FOUND
NWG-WGM6901601,NWG-WGM6901601,WatchGuard High Availability for M690 - 1-Year,122,134.2,7708.18,8479,0,0,0,0,0,OK
NWG-WGM695000,NWG-WGM695000,WatchGuard Firebox M695 Appliance Only – License Not Included (Requires Separate WG License Purchase),5412,5953.2,5844.96,6429.456,2,0,0,0,0,OK
NWG-WGM6950061,NWG-WGM6950061,WatchGuard Standard Support for Firebox M695 - 1-Year,13148,14462.8,21215.91,23337.5,0,0,0,0,0,OK
NWG-WGM6950063,NWG-WGM6950063,WatchGuard Standard Support for Firebox M695 - 3-Year,21696,23865.6,30986.36,34085,0,0,0,0,0,OK
NWG-WGM6950071,NWG-WGM6950071,WatchGuard Basic Security Suite for Firebox M695 - 1-Year,17158,18873.8,25798.86,28378.75,0,0,0,0,0,OK
NWG-WGM6950073,NWG-WGM6950073,WatchGuard Basic Security Suite for Firebox M695 - 3-Year,30761,33837.1,41348.86,45483.75,0,0,0,0,0,OK
NWG-WGM6950081,NWG-WGM6950081,WatchGuard Total Security Suite for Firebox M695 - 1-Year,26296,28925.6,36245.45,39870,0,0,0,0,0,OK
NWG-WGM6950083,NWG-WGM6950083,WatchGuard Total Security Suite for Firebox M695 - 3-Year,58199,64018.9,72748,80022.8,0,0,0,0,0,OK
NWG-WGM6950203,,,,,,,,,,,,NOT FOUND
NWG-WGM6950211,,,,,,,,,,,,NOT FOUND
NWG-WGM6950213,,,,,,,,,,,,NOT FOUND
NWG-WGM6951601,NWG-WGM6951601,WatchGuard High Availability for M695 - 1-Year,3874,4261.4,10614.77,11676.25,0,0,0,0,0,OK
NWG-WGM6951603,NWG-WGM6951603,WatchGuard High Availability for M695 - 3-Year,10848,11932.8,18985.45,20884,0,0,0,0,0,OK
NWG-WGT116000,NWG-WGT116000,WatchGuard Firebox T115-W Appliance Only – License Not Included (Requires Separate WG License Purchase),271,298.1,292.68,321.948,2,0,0,0,0,OK
NWG-WGT1160061,NWG-WGT1160061,WatchGuard Standard Support for Firebox T115-W - 1-Year,467,513.7,855.45,941,0,0,0,0,0,OK
NWG-WGT1160063,NWG-WGT1160063,WatchGuard Standard Support for Firebox T115-W - 3-Year,836,919.6,1281.82,1410,0,0,0,0,0,OK
NWG-WGT1160065,NWG-WGT1160065,WatchGuard Standard Support for Firebox T115-W - 5-Year,1205,1325.5,1722.73,1895,0,0,0,0,0,OK
NWG-WGT1160071,NWG-WGT1160071,WatchGuard Basic Security Suite for Firebox T115-W - 1-Year,627,689.7,1040.91,1145,0,0,0,0,0,OK
NWG-WGT1160073,NWG-WGT1160073,WatchGuard Basic Security Suite for Firebox T115-W - 3-Year,1144,1258.4,1639.09,1803,0,0,0,0,0,OK
NWG-WGT1160075,NWG-WGT1160075,WatchGuard Basic Security Suite for Firebox T115-W - 5-Year,2066,2272.6,2707.27,2978,0,0,0,0,0,OK
NWG-WGT1160081,NWG-WGT1160081,WatchGuard Total Security Suite for Firebox T115-W - 1-Year,1021,1123.1,1496.36,1646,0,0,0,0,0,OK
NWG-WGT1160083,NWG-WGT1160083,WatchGuard Total Security Suite for Firebox T115-W - 3-Year,1919,2110.9,2537.27,2791,0,0,0,0,0,OK
